Municipality,Year,Res_Electricity_GHG,Res_Natural_Gas_GHG,On_Road_Vehicles,Total_MTCO2e
Wenonah borough,2015,"5,840","5,366","6,252","17,458"
Deal borough,2020,"4,692","8,634","4,288","17,614"
Englishtown borough,2015,"2,430","3,756","7,813","13,999"
Lavallette borough,2015,"1,335","11,876","5,194","18,406"
Newfield borough,2020,"3,529","3,535","8,902","15,966"
Englishtown borough,2020,"2,013","3,570","9,007","14,590"
Stone Harbor borough,2015,"6,098","7,297","2,141","15,536"
Montague township,2020,"4,315",NDA,"6,462","10,777"
Wrightstown borough,2015,921,673,"12,018","13,612"
Sandyston township,2015,"2,399",NDA,"7,461","9,860"
Wenonah borough,2020,"4,856","4,541","7,948","17,345"
Hopewell township,2015,163,"1,471","9,381","11,015"
Essex Fells borough,2015,"3,264","9,199","4,713","17,176"
Green township,2020,"4,239",NDA,"7,482","11,722"
Hope township,2020,"1,945",NDA,"7,065","9,010"
Stone Harbor borough,2020,"5,629","7,039","3,020","15,688"
Woodbine borough,2020,"2,304","1,161","7,620","11,084"
Riverton borough,2015,"2,517","5,305","6,844","14,667"
West Amwell township,2020,"3,169","2,327","6,201","11,697"
South Harrison township,2015,782,164,"12,037","12,983"
Rockleigh borough,2020,417,"1,095","5,357","6,869"
Riverton borough,2020,"2,200","4,810","8,093","15,103"
Deal borough,2015,"4,374","7,467","3,248","15,088"
Essex Fells borough,2020,"2,910","8,460","4,726","16,096"
Eagleswood township,2015,"2,288","2,718","8,256","13,262"
Seaside Park borough,2015,"3,313","7,944","2,808","14,064"
National Park borough,2020,"2,348","2,982","10,195","15,526"
Woodbine borough,2015,"2,772",924,"5,919","9,614"
Ship Bottom borough,2020,"2,946","3,438","8,504","14,888"
South Harrison township,2020,605,870,"13,016","14,491"
Brooklawn borough,2015,"1,445","2,496","7,195","11,136"
Woodland township,2020,"1,421",5,"6,698","8,124"
National Park borough,2015,"2,716","3,270","8,003","13,989"
Ogdensburg borough,2015,"2,367",17,"6,626","9,010"
Milford borough,2020,"1,394",70,"4,664","6,129"
Ship Bottom borough,2015,"3,022","3,771","5,820","12,612"
Longport borough,2015,"3,274","6,673","3,821","13,768"
Laurel Springs borough,2015,"2,730","3,489","4,190","10,409"
Brooklawn borough,2020,"1,232","2,280","8,114","11,625"
Seaside Park borough,2020,"3,278","5,447","4,551","13,276"
Laurel Springs borough,2020,"2,538","3,038","5,409","10,985"
Fieldsboro borough,2020,433,758,"2,389","3,579"
Eagleswood township,2020,"1,851","2,528","7,662","12,041"
Frenchtown borough,2015,"1,594",575,"8,888","11,057"
Longport borough,2020,"3,196","5,608","4,314","13,118"
Mantoloking borough,2020,"1,820","11,696",747,"14,263"
Frelinghuysen township,2020,"2,198",NDA,"5,398","7,597"
Sea Bright borough,2020,"2,093","3,032","6,570","11,695"
Fieldsboro borough,2015,510,841,"1,776","3,127"
Avon-by-the-Sea borough,2015,"2,312","5,349","4,064","11,725"
Sandyston township,2020,"2,103",NDA,"5,037","7,140"
Avon-by-the-Sea borough,2020,"2,176","4,723","5,384","12,283"
Bay Head borough,2020,"2,402","4,951","3,431","10,784"
Bay Head borough,2015,"2,358","5,253","2,787","10,397"
Helmetta borough,2020,"1,792","3,332","7,460","12,584"
Beverly city,2015,"1,914","4,044","5,028","10,987"
East Newark borough,2015,"1,132","2,940","6,582","10,655"
Allentown borough,2015,"1,726","3,099","4,314","9,139"
Beverly city,2020,"1,787","3,660","5,742","11,189"
Greenwich township,2015,904,"5,001","1,336","7,242"
Hi-Nella borough,2015,547,504,"1,938","2,989"
Glen Gardner borough,2020,"1,415","3,209","5,702","10,326"
Hi-Nella borough,2020,546,435,"3,379","4,360"
Sea Bright borough,2015,"2,116","3,099","4,386","9,601"
Milford borough,2015,"1,562",27,"7,783","9,373"
Surf City borough,2015,"3,832","4,514","1,848","10,195"
Lavallette borough,2020,"1,396","4,527","5,730","11,653"
Pine Beach borough,2015,"2,237","4,397","4,273","10,907"
Helmetta borough,2015,"1,757","3,738","5,674","11,169"
Greenwich township,2020,717,"4,768","1,623","7,108"
Woodlynne borough,2020,"1,587","3,410","5,131","10,127"
Far Hills borough,2015,"1,981","2,567","4,900","9,448"
Woodlynne borough,2015,"1,741","3,559","4,246","9,546"
Far Hills borough,2020,"1,690","2,494","5,222","9,406"
Frenchtown borough,2020,"1,376","1,458","5,608","8,442"
Ocean Gate borough,2015,"2,062","3,932","4,294","10,288"
Ocean Gate borough,2020,"2,008","3,650","4,837","10,495"
Hampton borough,2015,"1,578",424,"5,277","7,279"
Shiloh borough,2020,482,274,"9,411","10,167"
Hampton borough,2020,"1,423","1,069","5,469","7,962"
Pemberton borough,2020,25,"2,002","5,524","7,552"
Glen Gardner borough,2015,"1,627","1,787","5,469","8,882"
Island Heights borough,2020,"1,694","3,433","4,655","9,782"
Shiloh borough,2015,622,232,"8,686","9,540"
Califon borough,2020,"1,058","1,444","4,038","6,540"
Shrewsbury township,2020,317,860,"7,458","8,634"
Lake Como borough,2020,"1,293","2,958","5,016","9,267"
Lake Como borough,2015,"1,457","3,314","3,722","8,493"
Corbin City city,2020,528,182,"7,628","8,338"
Surf City borough,2020,"3,689","4,468",NDA,"8,157"
Hardwick township,2020,"1,583",NDA,"4,221","5,803"
Chesilhurst borough,2015,"1,621","1,858","4,594","8,073"
Mantoloking borough,2015,"1,301","7,189",778,"9,268"
Allentown borough,2020,"1,486","2,722","2,813","7,021"
Bloomsbury borough,2015,988,273,"5,506","6,767"
East Newark borough,2020,987,"2,702","3,719","7,408"
Chesilhurst borough,2020,"1,269","1,611","4,653","7,533"
Stow Creek township,2015,953,1,"3,817","4,770"
Califon borough,2015,"1,189",774,"3,605","5,568"
Pemberton borough,2015,35,"2,243","5,085","7,363"
Washington township,2020,780,NDA,"4,430","5,211"
Stow Creek township,2020,748,51,"4,266","5,065"
Branchville borough,2015,924,NDA,"2,857","3,781"
Rocky Hill borough,2015,705,"1,266","4,097","6,068"
Washington township,2015,807,NDA,"3,432","4,239"
Victory Gardens borough,2020,808,"1,523","4,538","6,869"
Allenhurst borough,2015,"1,247","3,038","1,488","5,773"
Harvey Cedars borough,2015,"2,094","2,517","1,877","6,489"
Barnegat Light borough,2020,"1,984","2,633","1,597","6,214"
Branchville borough,2020,897,NDA,"3,699","4,596"
Barnegat Light borough,2015,"2,130","2,577","1,045","5,753"
West Cape May borough,2015,"1,843","2,937",524,"5,304"
Bloomsbury borough,2020,811,574,"3,431","4,815"
Winfield township,2020,889,"2,587","3,393","6,869"
Seaside Heights borough,2015,32,"4,581",NDA,"4,612"
Allenhurst borough,2020,"1,312","2,749","1,891","5,952"
Victory Gardens borough,2015,955,"1,569","3,057","5,581"
West Cape May borough,2020,"1,678","2,573",859,"5,109"
Seaside Heights borough,2020,33,"4,335",NDA,"4,368"
Roosevelt borough,2015,777,"1,706","3,397","5,879"
Interlaken borough,2015,"1,133","3,077","1,640","5,850"
Andover borough,2020,704,NDA,"1,912","2,615"
Stockton borough,2015,597,821,"2,807","4,225"
Rocky Hill borough,2020,614,"1,192","2,795","4,601"
Roosevelt borough,2020,648,"1,570","2,927","5,144"
Interlaken borough,2020,"1,040","2,774","1,630","5,445"
Elsinboro township,2015,60,NDA,"1,636","1,695"
Winfield township,2015,"1,031","1,571","2,132","4,733"
Andover borough,2015,780,NDA,"1,964","2,745"
Stockton borough,2020,532,"1,415","1,310","3,257"
Elsinboro township,2020,59,2,"1,907","1,967"
Corbin City city,2015,637,184,341,"1,162"
Cape May Point borough,2015,"1,134",694,475,"2,303"
Audubon Park borough,2020,NDA,NDA,"2,943","2,943"
West Wildwood borough,2015,902,"1,514",52,"2,469"
Cape May Point borough,2020,982,786,400,"2,168"
Millstone borough,2020,378,811,"1,128","2,316"
West Wildwood borough,2020,861,"1,245",54,"2,160"
Millstone borough,2015,414,871,836,"2,121"
Audubon Park borough,2015,NDA,NDA,"2,270","2,270"
Loch Arbour village,2015,386,"1,018",545,"1,949"
Loch Arbour village,2020,462,"1,068",456,"1,985"
Pine Valley borough,2020,43,41,790,874
Pine Valley borough,2015,61,NDA,571,632
Tavistock borough,2020,NDA,NDA,237,237
Walpack township,2015,76,NDA,30,106
Walpack township,2020,46,NDA,16,62
Tavistock borough,2015,NDA,NDA,NDA,0
