Municipality,Year, Total_Personal_Vehicles,#_of_EVs
Oakland borough,2020,"8,908",59
Verona township,2015,"8,811",5
Little Falls township,2015,"8,799",4
Saddle Brook township,2020,"8,792",27
Tenafly borough,2015,"8,787",17
Eatontown borough,2015,"8,738",6
Berkeley Heights township,2015,"8,724",10
Metuchen borough,2015,"8,704",8
Bordentown township,2020,"8,691",36
Tenafly borough,2020,"8,661",241
Collingswood borough,2015,"8,635",10
Roselle Park borough,2020,"8,612",26
Highland Park borough,2020,"8,593",79
Franklin Lakes borough,2015,"8,589",11
Asbury Park city,2020,"8,588",73
Lumberton township,2020,"8,516",49
Ringwood borough,2015,"8,479",7
Millstone township,2020,"8,474",75
Harrison township,2015,"8,453",9
Clinton township,2015,"8,447",5
Wantage township,2020,"8,443",27
South Orange Village township,2015,"8,398",21
Eatontown borough,2020,"8,370",67
Franklin Lakes borough,2020,"8,322",151
Phillipsburg town,2015,"8,309",4
Dover town,2015,"8,237",1
Wanaque borough,2020,"8,215",32
Wantage township,2015,"8,198",5
Bridgeton city,2015,"8,152",4
Lumberton township,2015,"8,118",6
East Hanover township,2020,"8,079",59
Cedar Grove township,2020,"8,062",70
Roselle Park borough,2015,"8,058",6
Edgewater borough,2020,"8,018",108
Ocean City city,2020,"8,012",89
Beachwood borough,2020,"8,002",28
Woodland Park borough,2020,"7,975",42
South Orange Village township,2020,"7,968",171
Woolwich township,2020,"7,964",51
Waterford township,2020,"7,941",17
Bordentown township,2015,"7,897",8
East Hanover township,2015,"7,866",2
West Caldwell township,2020,"7,859",70
Cedar Grove township,2015,"7,838",8
Haddonfield borough,2015,"7,803",13
Southampton township,2020,"7,800",50
East Greenwich township,2020,"7,796",61
Bridgeton city,2020,"7,756",21
Glen Rock borough,2015,"7,742",8
Southampton township,2015,"7,735",9
Kinnelon borough,2020,"7,682",48
Kinnelon borough,2015,"7,680",3
Weehawken township,2020,"7,680",84
Highland Park borough,2015,"7,642",11
Millstone township,2015,"7,600",13
River Edge borough,2020,"7,587",70
New Providence borough,2015,"7,562",5
Haddonfield borough,2020,"7,545",103
Ocean City city,2015,"7,512",5
Hasbrouck Heights borough,2015,"7,454",5
Red Bank borough,2020,"7,444",60
Woodland Park borough,2015,"7,417",4
Pompton Lakes borough,2020,"7,385",32
Woolwich township,2015,"7,378",4
Wanaque borough,2015,"7,375",3
Beachwood borough,2015,"7,365",4
Wallington borough,2020,"7,339",27
Lincoln Park borough,2020,"7,325",25
Hillsdale borough,2020,"7,288",48
Florham Park borough,2020,"7,275",79
Somerville borough,2020,"7,267",63
Westwood borough,2020,"7,258",105
Harrison town,2020,"7,223",36
Colts Neck township,2020,"7,212",111
Totowa borough,2020,"7,197",44
River Edge borough,2015,"7,194",2
Hasbrouck Heights borough,2020,"7,190",56
Colts Neck township,2015,"7,156",16
Ridgefield Park village,2020,"7,146",38
Lincoln Park borough,2015,"7,119",1
Wallington borough,2015,"7,119",3
Florham Park borough,2015,"7,100",8
Somerville borough,2015,"7,081",8
Pine Hill borough,2020,"7,069",17
Pompton Lakes borough,2015,"7,062",1
Ocean township,2020,"7,047",15
Bellmawr borough,2015,"7,034",1
Chatham township,2015,"7,021",10
Edgewater borough,2015,"7,021",9
Waterford township,2015,"6,977",5
Bellmawr borough,2020,"6,953",22
River Vale township,2020,"6,916",70
Plumsted township,2020,"6,902",23
Ocean township,2015,"6,884",1
Westwood borough,2015,"6,877",11
