Municipality,Year,Res_Electricity_EE,Total_Electricity,Res_Natural_Gas_EE,Total_Natural_Gas
Victory Gardens borough,2015,"3,771,866","5,618,509","294,626","294,626"
Victory Gardens borough,2020,"3,618,519","5,371,754","285,911","285,911"
Vineland City,2015,"7,728,197","14,696,123","13,956,104","13,956,104"
Vineland City,2020,"6,775,891","13,234,991","12,199,985","12,199,985"
Voorhees township,2015,"90,946,482","314,930,122","8,397,121","8,397,121"
Voorhees township,2020,"95,619,906","264,606,383","7,260,847","7,260,847"
Waldwick borough,2015,"30,307,854","66,466,705","3,728,624","3,728,624"
Waldwick borough,2020,"30,774,123","60,731,794","3,344,624","3,344,624"
Wall township,2015,"114,078,699","306,267,518","10,153,560","10,153,560"
Wall township,2020,"111,228,867","279,597,781","9,254,600","9,254,600"
Wallington borough,2015,"26,832,554","45,000,750","2,904,720","2,904,720"
Wallington borough,2020,"26,730,379","43,106,761","2,506,608","2,506,608"
Walpack township,2015,"298,959","637,791",NDA,0
Walpack township,2020,"205,082","439,173",NDA,0
Wanaque borough,2015,"34,033,080","76,036,823","3,682,392","3,682,392"
Wanaque borough,2020,"35,227,505","76,709,231","3,424,868","3,424,868"
Wantage township,2020,"14,600,626","30,594,409","201,168","201,168"
Wantage township,2015,"12,552,488","29,158,038","100,109","100,109"
Warren township,2015,"79,618,747","203,854,513","8,669,186","8,669,186"
Warren township,2020,"78,391,120","160,692,800","7,779,922","7,779,922"
Washington borough,2020,"23,406,846","47,559,594","2,504,183","2,504,183"
Washington borough,2015,"22,602,617","60,261,207","1,520,087","1,520,087"
Washington township,2015,"123,756,931","276,427,374","13,671,341","13,671,341"
Washington township,2020,"109,018,326","235,442,557","11,429,355","11,429,355"
Washington township,2020,"79,321,446","119,845,279","6,114,309","6,114,309"
Washington township,2015,"37,088,866","52,929,668","4,235,091","4,235,091"
Washington township,2020,"35,601,949","47,467,965","3,767,319","3,767,319"
Washington township,2015,"79,867,504","122,070,641","3,666,994","3,666,994"
Washington township,2020,"28,514,823","50,111,010","1,631,353","1,631,353"
Washington township,2015,"28,382,200","72,461,428","1,520,087","1,520,087"
Washington township,2015,"3,612,073","3,612,073",NDA,0
Washington township,2020,"3,494,786","3,494,786",NDA,0
Watchung borough,2015,"29,471,141","77,548,705","3,290,560","3,290,560"
Watchung borough,2020,"29,444,676","73,917,846","3,042,828","3,042,828"
Waterford township,2015,"54,471,993","54,471,993","2,895,177","2,895,177"
Waterford township,2020,"49,318,848","49,318,848","2,618,090","2,618,090"
Wayne township,2015,"191,573,680","592,315,114","21,098,254","21,098,254"
Wayne township,2020,"185,106,556","516,562,146","19,143,396","19,143,396"
Weehawken township,2015,"39,328,741","239,080,997","2,985,278","2,985,278"
Weehawken township,2020,"45,799,564","208,911,041","2,618,444","2,618,444"
Wenonah borough,2015,"23,056,335","23,056,335","1,007,575","1,007,575"
Wenonah borough,2020,"21,747,798","21,747,798","852,586","852,586"
West Amwell township,2020,"14,192,690","21,319,730","436,858","436,858"
West Amwell township,2015,"14,192,382","24,127,555","234,750","234,750"
West Caldwell township,2015,"38,022,866","149,568,299","4,544,509","4,544,509"
West Caldwell township,2020,"37,672,900","144,042,971","4,096,235","4,096,235"
West Cape May borough,2015,"7,275,027","7,275,027","551,470","551,470"
West Cape May borough,2020,"7,513,240","7,513,240","483,098","483,098"
West Deptford township,2015,"82,682,813","377,575,613","4,744,795","4,744,795"
West Deptford township,2020,"78,200,195","319,944,289","4,197,959","4,197,959"
West Long Branch borough,2015,"29,332,443","82,379,806","2,783,244","2,783,244"
West Long Branch borough,2020,"29,605,310","73,878,298","2,546,888","2,546,888"
West Milford township,2015,"96,274,024","142,204,000","6,120,280","6,120,280"
West Milford township,2020,"95,496,064","136,000,065","5,639,819","5,639,819"
West New York town,2015,"88,665,968","196,752,658","5,700,053","5,700,053"
West New York town,2020,"90,720,469","186,758,207","5,361,376","5,361,376"
West Orange township,2015,"142,983,262","310,124,006","17,799,435","17,799,435"
West Orange township,2020,"142,902,481","294,058,449","16,278,585","16,278,585"
West Wildwood borough,2015,"3,562,345","3,562,345","284,324","284,324"
West Wildwood borough,2020,"3,856,824","3,856,824","233,817","233,817"
West Windsor township,2015,"93,969,279","332,048,744","9,816,956","9,816,956"
West Windsor township,2020,"94,056,481","385,370,307","8,769,769","8,769,769"
Westampton township,2015,"35,632,723","111,039,089","2,046,788","2,046,788"
Westampton township,2020,"33,591,661","111,438,788","1,792,056","1,792,056"
Westfield town,2020,"116,786,732","167,645,971","16,731,396","16,731,396"
Westfield town,2015,"114,910,096","177,984,063","10,283,353","10,283,353"
Westville borough,2015,"13,787,575","21,536,325","1,074,226","1,074,226"
Westville borough,2020,"13,650,102","20,728,238","996,129","996,129"
Westwood borough,2015,"35,482,791","76,977,761","3,649,841","3,649,841"
Westwood borough,2020,"35,063,892","69,485,351","3,308,166","3,308,166"
Weymouth township,2015,"11,635,330","11,635,330","154,859","154,859"
Weymouth township,2020,"10,934,301","10,934,301","146,161","146,161"
Wharton borough,2015,"21,909,385","91,503,900","1,464,531","1,464,531"
Wharton borough,2020,"21,473,134","68,599,417","1,333,118","1,333,118"
White township,2020,"19,262,234","30,533,045","826,959","826,959"
White township,2015,"20,143,034","37,567,084","516,834","516,834"
Wildwood city,2015,"36,607,082","36,607,082","1,847,205","1,847,205"
Wildwood city,2020,"36,102,884","36,102,884","1,470,715","1,470,715"
Wildwood Crest Borough,2015,"31,894,976","31,894,976","2,164,417","2,164,417"
Wildwood Crest Borough,2020,"30,810,241","30,810,241","1,719,817","1,719,817"
Willingboro township,2015,"100,115,288","161,243,955","11,761,897","11,761,897"
Willingboro township,2020,"94,875,741","145,494,164","10,659,651","10,659,651"
Winfield township,2020,"3,982,542","4,372,867","485,650","485,650"
Winfield township,2015,"4,070,977","4,553,297","294,920","294,920"
Winslow township,2015,"143,879,895","143,879,895","8,950,152","8,950,152"
Winslow township,2020,"132,491,144","132,491,144","8,398,526","8,398,526"
Wood-Ridge borough,2015,"28,417,058","58,860,049","2,968,388","2,968,388"
Wood-Ridge borough,2020,"31,375,651","59,991,502","2,784,877","2,784,877"
Woodbine borough,2020,"10,316,555","10,316,555","217,899","217,899"
Woodbine borough,2015,"10,942,852","10,942,852","173,409","173,409"
Woodbridge Township,2020,"259,015,843","822,607,365","37,881,374","37,881,374"
Woodbridge Township,2015,"259,678,157","890,211,835","20,647,623","20,647,623"
Woodbury city,2015,"32,098,691","90,950,790","2,410,078","2,410,078"
Woodbury city,2020,"32,168,470","79,846,685","2,254,151","2,254,151"
Woodbury Heights borough,2015,"11,677,187","21,087,640","841,005","841,005"
Woodbury Heights borough,2020,"11,354,664","18,867,668","725,274","725,274"
Woodcliff Lake borough,2015,"28,191,274","97,469,266","3,656,916","3,656,916"
Woodcliff Lake borough,2020,"28,055,026","76,849,995","3,426,419","3,426,419"
Woodland Park borough,2015,"39,069,732","98,826,251","3,824,962","3,824,962"
Woodland Park borough,2020,"38,810,659","81,490,550","3,477,443","3,477,443"
Woodland township,2020,"6,362,458","16,252,696",936,936
Woodland township,2015,"6,850,193","18,055,484",NDA,0
Woodlynne borough,2015,"6,873,610","9,018,233","668,269","668,269"
Woodlynne borough,2020,"7,106,011","9,077,564","640,145","640,145"
Woodstown borough,2015,"34,088,961","34,088,961","814,853","814,853"
Woodstown borough,2020,"30,737,769","30,737,769","722,708","722,708"
Woolwich township,2015,"17,626","17,626","2,951,623","2,951,623"
Woolwich township,2020,"49,620","49,620","2,932,981","2,932,981"
Wrightstown borough,2015,"3,635,279","15,773,256","126,424","126,424"
Wrightstown borough,2020,"3,674,351","16,707,016","117,250","117,250"
Wyckoff township,2015,"74,316,505","109,948,205","9,373,709","9,373,709"
Wyckoff township,2020,"72,650,190","108,367,269","8,829,622","8,829,622"
