Municipality,Year,Res_Electricity_EE,Total_Electricity,Res_Natural_Gas_EE,Total_Natural_Gas
Hope township,2015,"9,055,446","12,359,197",NDA,0
Hope township,2020,"8,711,852","11,357,904",NDA,0
Hopewell borough,2020,"6,683,983","20,123,204","975,894","975,894"
Hopewell borough,2015,"6,805,148","22,549,326","537,411","537,411"
Hopewell township,2020,"78,726,819","220,836,898","6,548,982","6,548,982"
Hopewell township,2015,"80,700,433","254,033,701","3,488,829","3,488,829"
Hopewell township,2020,"502,834","502,834","299,239","299,239"
Hopewell township,2015,"645,236","645,236","276,194","276,194"
Howell township,2015,"197,639,962","330,392,116","13,978,164","13,978,164"
Howell township,2020,"188,558,323","305,186,915","13,708,113","13,708,113"
Independence township,2020,"21,326,292","26,833,022","1,237,760","1,237,760"
Independence township,2015,"23,223,918","29,533,368","761,223","761,223"
Interlaken borough,2015,"4,471,627","4,704,189","577,687","577,687"
Interlaken borough,2020,"4,657,451","4,823,329","520,919","520,919"
Irvington township,2015,"97,504,442","204,373,794","13,602,602","13,602,602"
Irvington township,2020,"104,464,654","203,490,337","12,994,294","12,994,294"
Island Heights borough,2015,"76,145,690","238,578,875","726,167","726,167"
Island Heights borough,2020,"7,587,457","9,546,501","644,466","644,466"
Jackson township,2015,"35,895,309","49,111,863","16,389,566","16,389,566"
Jackson township,2020,"213,231,739","303,994,527","15,435,963","15,435,963"
Jamesburg borough,2015,"21,933,047","33,911,362","1,571,930","1,571,930"
Jamesburg borough,2020,"20,836,623","32,195,970","1,418,462","1,418,462"
Jefferson township,2020,"85,288,971","118,370,819","1,439,617","1,439,617"
Jefferson township,2015,"83,318,499","121,569,124","1,333,836","1,333,836"
Jersey City city,2015,"545,174,185","2,207,782,715","48,134,258","48,134,258"
Jersey City city,2020,"616,521,556","2,057,944,453","43,116,336","43,116,336"
Keansburg borough,2020,"26,822,731","42,390,272","8,984,516","8,984,516"
Keansburg borough,2015,"25,241,449","41,953,829","2,281,519","2,281,519"
Kearny town,2015,"78,716,893","347,810,814","10,602,011","10,602,011"
Kearny town,2020,"81,453,300","400,228,057","9,720,249","9,720,249"
Kenilworth borough,2020,"23,383,711","72,463,235","3,398,135","3,398,135"
Kenilworth borough,2015,"24,385,015","82,344,680","2,159,884","2,159,884"
Keyport borough,2015,"23,142,165","47,284,475","1,895,061","1,895,061"
Keyport borough,2020,"21,977,658","42,867,122","1,705,627","1,705,627"
Kingwood township,2020,"18,956,257","27,506,923","82,397","82,397"
Kingwood township,2015,"18,624,970","28,698,337","41,612","41,612"
Kinnelon borough,2020,"1,049,567","1,125,712","5,816,278","5,816,278"
Kinnelon borough,2015,"1,151,915","1,210,531","3,353,052","3,353,052"
Knowlton township,2015,"14,630,689","22,555,425",NDA,0
Knowlton township,2020,"13,777,675","21,274,213",NDA,0
Lacey township,2015,"182,368,558","183,573,530","9,401,262","9,401,262"
Lacey township,2020,"114,784,021","192,968,624","1,330,958","1,330,958"
Lafayette township,2020,"6,997,668","14,150,808","41,848","41,848"
Lafayette township,2015,"7,264,905","15,067,102","16,553","16,553"
Lake Como borough,2015,"5,754,515","8,930,286","622,151","622,151"
Lake Como borough,2020,"5,788,788","8,386,499","555,386","555,386"
Lakehurst borough,2020,"8,258,947","20,572,912","1,266,248","1,266,248"
Lakehurst borough,2015,"7,979,261","20,405,214","1,192,387","1,192,387"
Lakewood township,2020,"339,012,475","650,921,608","19,278,165","19,278,165"
Lakewood township,2015,"327,232,333","643,150,183","16,923,658","16,923,658"
Lambertville city,2020,"17,535,011","33,280,717","1,810,611","1,810,611"
Lambertville city,2015,"17,578,688","38,666,375","1,002,574","1,002,574"
Laurel Springs borough,2015,"12,223,759","12,223,759","655,069","655,069"
Laurel Springs borough,2020,"11,365,440","11,365,440","570,343","570,343"
Lavallette borough,2015,"5,272,375","5,655,901","2,229,815","2,229,815"
Lavallette borough,2020,"6,251,483","6,626,632","849,887","849,887"
Lawnside borough,2015,"10,304,108","28,449,531","791,159","791,159"
Lawnside borough,2020,"10,086,898","26,664,394","708,517","708,517"
Lawrence township,2015,"106,134,154","333,731,786","9,648,317","9,648,317"
Lawrence township,2020,"102,989,913","316,754,782","8,900,888","8,900,888"
Lawrence township,2020,"9,466,663","9,466,663","221,063","221,063"
Lawrence township,2015,"11,565,514","11,565,514","191,019","191,019"
Lebanon borough,2020,"5,731,449","13,571,940","597,551","597,551"
Lebanon borough,2015,"5,834,922","14,682,137","329,800","329,800"
Lebanon township,2020,"30,229,996","42,904,048","96,487","96,487"
Lebanon township,2015,"29,408,784","41,846,828","53,380","53,380"
Leonia borough,2015,"24,514,058","51,101,379","3,173,881","3,173,881"
Leonia borough,2020,"24,383,706","44,401,817","2,804,531","2,804,531"
Liberty township,2020,"12,460,893","14,034,141",NDA,0
Liberty township,2015,"12,140,891","14,331,416",NDA,0
Lincoln Park borough,2015,"33,805,901","69,602,349","3,105,850","3,105,850"
Lincoln Park borough,2020,"32,657,886","66,157,007","2,855,360","2,855,360"
Linden city,2020,"99,030,484","477,980,668","16,326,607","16,326,607"
Linden city,2015,"100,469,458","448,634,985","9,148,727","9,148,727"
Lindenwold borough,2015,"66,600,636","66,600,636","2,616,839","2,616,839"
Lindenwold borough,2020,"61,699,263","61,699,263","2,456,488","2,456,488"
Linwood city,2015,"38,695,578","38,695,578","2,755,139","2,755,139"
Linwood city,2020,"35,607,230","35,607,230","2,482,403","2,482,403"
Little Egg Harbor township,2015,"66,455,914","66,455,914","5,294,979","5,294,979"
Little Egg Harbor township,2020,"62,792,211","62,792,211","2,949,341","2,949,341"
Little Falls township,2015,"38,045,791","96,995,005","3,919,842","3,919,842"
Little Falls township,2020,"37,797,328","88,935,048","3,440,318","3,440,318"
Little Ferry borough,2015,"30,689,277","96,536,876","2,491,763","2,491,763"
Little Ferry borough,2020,"29,071,639","95,209,480","2,191,795","2,191,795"
Little Silver borough,2015,"31,763,869","49,998,333","2,702,585","2,702,585"
Little Silver borough,2020,"30,037,149","44,982,141","2,584,954","2,584,954"
Livingston township,2015,"119,407,456","325,817,835","14,602,242","14,602,242"
Livingston township,2020,"118,698,122","293,397,133","12,933,913","12,933,913"
Loch Arbour village,2020,"2,068,952","2,322,919","200,480","200,480"
Loch Arbour village,2015,"1,525,547","1,717,580","191,106","191,106"
Lodi borough,2015,"62,081,888","124,586,876","5,602,865","5,602,865"
Lodi borough,2020,"60,495,640","114,292,211","5,056,065","5,056,065"
Logan township,2015,"3,677,535","3,677,535","1,007,074","1,007,074"
Logan township,2020,"3,309,632","3,309,632","890,274","890,274"
Long Beach township,2020,"53,703,732","53,703,732","7,763,663","7,763,663"
Long Beach township,2015,"46,101,858","46,101,858","2,239,290","2,239,290"
Long Branch city,2015,"95,309,550","200,905,094","8,480,990","8,480,990"
Long Branch city,2020,"99,979,888","199,938,816","910,134","910,134"
Long Hill township,2015,"35,461,354","60,701,214","3,375,019","3,375,019"
Long Hill township,2020,"34,575,241","56,903,293","3,091,600","3,091,600"
Longport borough,2015,"12,927,822","12,927,822","1,252,845","1,252,845"
Longport borough,2020,"14,312,649","14,312,649","1,052,915","1,052,915"
Lopatcong township,2020,"30,271,317","53,888,245","3,289,589","3,289,589"
Lopatcong township,2015,"27,420,111","50,183,304","1,785,147","1,785,147"
Lower Alloways Creek township,2015,"2,574,348","2,574,348",NDA,0
Lower Alloways Creek township,2020,"1,979,932","1,979,932",NDA,0
Lower township,2015,"108,074,823","108,074,823","5,141,985","5,141,985"
Lower township,2020,"93,274,001","93,274,001","4,775,768","4,775,768"
Lumberton township,2015,"47,479,227","104,533,780","3,316,695","3,316,695"
Lumberton township,2020,"45,124,854","91,177,020","2,885,662","2,885,662"
Lyndhurst township,2015,"61,380,291","225,675,527","6,436,668","6,436,668"
Lyndhurst township,2020,"62,601,707","204,067,431","5,766,115","5,766,115"
Madison borough,2015,NDA,"13,875","6,345,369","6,345,369"
Madison borough,2020,"8,954","13,154","5,665,058","5,665,058"
Magnolia borough,2015,"13,847,656","22,475,876","1,458,887","1,458,887"
Magnolia borough,2020,"13,359,085","22,780,281","1,259,125","1,259,125"
Mahwah township,2015,"94,637,757","322,553,614","10,974,901","10,974,901"
Mahwah township,2020,"91,132,683","291,397,486","10,226,308","10,226,308"
Manalapan township,2015,"171,974,171","271,350,017","13,977,315","13,977,315"
Manalapan township,2020,"161,107,038","246,399,125","13,513,216","13,513,216"
Manasquan borough,2015,"28,374,238","48,658,626","2,749,715","2,749,715"
Manasquan borough,2020,"30,234,868","47,800,605","2,473,690","2,473,690"
Manchester township,2020,"251,908,471","340,842,222","16,789,084","16,789,084"
Manchester township,2015,"262,507,561","366,640,168","6,597,308","6,597,308"
Mannington township,2015,"5,256,814","5,256,814","56,686","56,686"
Mannington township,2020,"4,366,195","4,366,195","45,954","45,954"
Mansfield township,2015,"36,998,855","57,752,467","4,142,405","4,142,405"
Mansfield township,2020,"34,205,450","53,090,451","2,702,304","2,702,304"
Mansfield township,2020,"25,383,494","72,337,285","1,656,782","1,656,782"
Mansfield township,2015,"25,821,858","76,887,172","1,006,616","1,006,616"
Mantoloking borough,2020,"8,151,233","9,128,007","2,195,887","2,195,887"
Mantoloking borough,2015,"5,137,044","6,080,794","1,349,745","1,349,745"
Mantua township,2015,"126,098,483","126,098,483","4,495,998","4,495,998"
Mantua township,2020,"115,888,272","115,888,272","3,891,988","3,891,988"
Manville borough,2015,"29,076,161","48,324,111","3,078,144","3,078,144"
Manville borough,2020,"28,410,680","44,142,384","2,851,724","2,851,724"
Maple Shade township,2015,"60,910,164","129,600,979","4,158,264","4,158,264"
